rank,city,state,city_state,population_2025_estimate,county,county_fips,fips_city_name,fips_state_name,matched_key
90,Winston-Salem,NC,Winston-Salem_NC,257271,Forsyth County,37067,Winston-Salem city,North Carolina,Winston-Salem_NC
91,Irving,TX,Irving_TX,257076,Dallas County,48113,Irving city,Texas,Irving_TX
92,Chesapeake,VA,Chesapeake_VA,255332,Chesapeake city,51550,Chesapeake city,Virginia,Chesapeake_VA
93,Garland,TX,Garland_TX,249625,Collin County,48085,Garland city,Texas,Garland_TX
93,Garland,TX,Garland_TX,249625,Dallas County,48113,Garland city,Texas,Garland_TX
93,Garland,TX,Garland_TX,249625,Rockwall County,48397,Garland city,Texas,Garland_TX
94,Scottsdale,AZ,Scottsdale_AZ,243006,Maricopa County,04013,Scottsdale city,Arizona,Scottsdale_AZ
95,Boise,ID,Boise_ID,238429,Ada County,16001,Boise City city,Idaho,Boise_ID
96,Richmond,VA,Richmond_VA,237257,Richmond city,51760,Richmond city,Virginia,Richmond_VA
97,Frisco,TX,Frisco_TX,236955,Collin County,48085,Frisco city,Texas,Frisco_TX
97,Frisco,TX,Frisco_TX,236955,Denton County,48121,Frisco city,Texas,Frisco_TX
98,Cape Coral,FL,Cape Coral_FL,236264,Lee County,12071,Cape Coral city,Florida,Cape Coral_FL
99,McKinney,TX,McKinney_TX,236001,Collin County,48085,McKinney city,Texas,McKinney_TX
100,Huntsville,AL,Huntsville_AL,233627,Limestone County,01083,Huntsville city,Alabama,Huntsville_AL
100,Huntsville,AL,Huntsville_AL,233627,Madison County,01089,Huntsville city,Alabama,Huntsville_AL
100,Huntsville,AL,Huntsville_AL,233627,Morgan County,01103,Huntsville city,Alabama,Huntsville_AL
